quiz,question,mediaType,url,status,detail
Level 1: The Solar System,What is the closest star to Earth?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/The_Sun_by_the_Atmospheric_Imaging_Assembly_of_NASA's_Solar_Dynamics_Observatory_-_20100819.jpg,OK,image/jpeg
Level 1: The Solar System,Which of these planets is the smallest in our Solar System and closest,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Mercury_in_true_color.jpg,OK,image/jpeg
Level 1: The Solar System,"In August 2023, India made history by landing Chandrayaan-3 near which",image,https://upload.wikimedia.org/wikipedia/commons/8/87/Chandrayaan-3_Vikram_Lander_from_Pragyan_Rover.jpg,BROKEN,HTTP 404
Level 1: The Solar System,What causes day and night on Earth?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/The_Earth_seen_from_Apollo_17.jpg,OK,image/jpeg
Level 1: The Solar System,What is the name of ISRO's upcoming mission that aims to send Indian a,video,https://www.youtube.com/watch?v=F07_VjF0jHk,BROKEN,oEmbed returned 404 (private/deleted/removed)
Level 1: The Solar System,Which planet is known as the 'Red Planet' because of rusty iron dust o,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/OSIRIS_Mars_true_color.jpg,OK,image/jpeg
Level 1: The Solar System,Who was the first Indian citizen to travel into space?,image,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Rakesh_Sharma_in_1984.jpg/800px-Rakesh_Sharma_in_1984.jpg,BROKEN,HTTP 400
Level 1: The Solar System,Why does the Moon shine brightly in the night sky?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/FullMoon2010.jpg,OK,image/jpeg
Level 1: The Solar System,"Which is the largest planet in our Solar System, famous for its Great ",image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Jupiter_and_its_shrunken_Great_Red_Spot.jpg,OK,image/jpeg
Level 1: The Solar System,Where is the main Asteroid Belt located in our Solar System?,video,https://www.youtube.com/watch?v=kYjY-W12NlQ,BROKEN,oEmbed returned 404 (private/deleted/removed)
Level 1: The Solar System,Which planet is the hottest in our solar system?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Venus-real_color.jpg,OK,image/jpeg
Level 1: The Solar System,Which planet spins almost completely on its side?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Uranus2.jpg,OK,image/jpeg
Level 1: The Solar System,Which is the farthest official planet from the Sun?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Neptune_Full.jpg,OK,image/jpeg
Level 1: The Solar System,"Which planet is famous for having the most spectacular, bright ring sy",image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Saturn_during_Equinox.jpg,OK,image/jpeg
Level 1: The Solar System,"What is the name of the largest volcano in the solar system, located o",image,https://upload.wikimedia.org/wikipedia/commons/2/23/Olympus_Mons_alt.jpg,BROKEN,HTTP 404
Level 1: The Solar System,What is the continuous stream of charged particles flowing out from th,image,https://upload.wikimedia.org/wikipedia/commons/6/67/Solar_wind.jpg,BROKEN,HTTP 404
Level 1: The Solar System,What do we call the bubble-like region of space dominated by the Sun's,image,https://upload.wikimedia.org/wikipedia/commons/6/69/Heliosphere_diagram.jpg,BROKEN,HTTP 429
Level 1: The Solar System,What is a 'Light Year'?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/FullMoon2010.jpg,OK,image/jpeg
Level 1: The Solar System,Which of these is a dwarf planet located in the main asteroid belt?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Ceres_-_RC3_-_Haulani_Crater_(22381131691)_(cropped).jpg,OK,image/jpeg
Level 1: The Solar System,Which human-made spacecraft is currently the farthest from Earth?,image,https://upload.wikimedia.org/wikipedia/commons/d/d2/Voyager_spacecraft_model.png,BROKEN,HTTP 429
Level 1: The Solar System,"Which planet has the shortest day, spinning on its axis in just under ",image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Jupiter.jpg,OK,image/jpeg
Level 1: The Solar System,What is Valles Marineris?,image,https://upload.wikimedia.org/wikipedia/commons/6/6c/Valles_Marineris_on_Mars.jpg,BROKEN,HTTP 404
Level 1: The Solar System,Which planet rotates backwards compared to most other planets?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Venus_globe.jpg,OK,image/jpeg
Level 1: The Solar System,What is the theoretical spherical shell of icy objects at the very out,image,https://upload.wikimedia.org/wikipedia/commons/e/e4/Oort_cloud.png,BROKEN,HTTP 429
Level 1: The Solar System,What are comets primarily made of?,image,https://upload.wikimedia.org/wikipedia/commons/d/df/Comet_NEOWISE_July_18_2020.jpg,BROKEN,HTTP 429
Level 2: Moons and Eclipses,Which planet in our solar system has the most known moons?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Saturn_during_Equinox.jpg,OK,image/jpeg
Level 2: Moons and Eclipses,What is the famous comet that can be seen from Earth every 75-76 years,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Lspn_comet_halley.jpg,OK,image/jpeg
Level 2: Moons and Eclipses,Which of these is the largest dwarf planet in our solar system?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Pluto_in_True_Color_-_High-Res.jpg,OK,image/jpeg
Level 2: Moons and Eclipses,What is a 'shooting star' actually called in astronomy when it enters ,image,https://upload.wikimedia.org/wikipedia/commons/6/61/Meteor_burst.jpg,BROKEN,HTTP 429
Level 2: Moons and Eclipses,Which moon is the only place beyond Earth where humans have set foot?,image,https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Apollo_11_first_step.jpg,OK,image/jpeg
Level 2: Moons and Eclipses,What happens during a Solar Eclipse?,image,https://upload.wikimedia.org/wikipedia/commons/c/c3/Solar_eclipse_1999_4_NR.jpg,BROKEN,HTTP 429
Level 2: Moons and Eclipses,What causes a Lunar Eclipse?,image,https://upload.wikimedia.org/wikipedia/commons/9/90/Lunar_eclipse_April_15_2014_California_by_Alfredo_Garcia_Jr.jpg,BROKEN,HTTP 429
Level 2: Moons and Eclipses,Which of Jupiter's moons is the largest moon in the entire solar syste,image,"https://cdn.jsdelivr.net/gh/mohitcnsia/images@main/Ganymede,_moon_of_Jupiter,_NASA.jpg",OK,image/jpeg
Level 2: Moons and Eclipses,Which moon of Jupiter is famous for its hundreds of erupting volcanoes,image,https://upload.wikimedia.org/wikipedia/commons/4/4e/Io_highest_resolution_true_color.jpg,BROKEN,HTTP 429
